id,age,gender,ideology,pid,degree,industry,worried,happening,need_policy,c_fedgov,c_corps,c_farmers,c_public,1_loop1,2_loop1,3_loop1,4_loop1,5_loop1,6_loop1,7_loop1,8_loop1,10_loop1,11_loop1,12_loop1,13_loop1,14_loop1,15_loop1,16_loop1,17_loop1,18_loop1,19_loop1,20_loop1,21_loop1,22_loop1,23_loop1,24_loop1,25_loop1,26_loop1,27_loop1,28_loop1,29_loop1,30_loop1,31_loop1,32_loop1,33_loop1,34_loop1,1_loop2,2_loop2,3_loop2,4_loop2,5_loop2,6_loop2,7_loop2,8_loop2,9_loop2,10_loop2,11_loop2,12_loop2,13_loop2,14_loop2,15_loop2,16_loop2,17_loop2,18_loop2,19_loop2,20_loop2,21_loop2,22_loop2,23_loop2,24_loop2,25_loop2,26_loop2,27_loop2,28_loop2,29_loop2,30_loop2,31_loop2,32_loop2,33_loop2,1_loop3,2_loop3,3_loop3,4_loop3,5_loop3,6_loop3,7_loop3,8_loop3,9_loop3,10_loop3,11_loop3,12_loop3,13_loop3,14_loop3,15_loop3,16_loop3,17_loop3,18_loop3,19_loop3,20_loop3,21_loop3,22_loop3,23_loop3,24_loop3,25_loop3,26_loop3,27_loop3,28_loop3,29_loop3,30_loop3,31_loop3,32_loop3,33_loop3,four_just_1,four_just_2,four_just_3,four_just_4,comments_overall,pid3,ideo3,lib,con,ideo7,age_groups,degree2,bach_more,ind,worried_cat,need_cat,age_cat,pid_cat,bach_cat,gender_cat,ideo_cat,conf_cat,loop,sm_np,sm_sup,sm_score
1172,26,Male,"Moderate, middle of the road",Independent,Bachelor's degree,"Wholesale and retail trade, transportation and storage, accommodation and food service activities",2,2,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly oppose,Strongly favor,Strongly favor,Somewhat oppose,Somewhat favor,Somewhat favor,Strongly favor,Somewhat oppose,Somewhat favor,Strongly favor,Somewhat favor,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Somewhat favor,Strongly oppose,Somewhat favor,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Strongly oppose,Strongly oppose,Strongly favor,Somewhat favor,Strongly oppose,Very important,Very important,Very important,Very important,NA,Ind/Other,Moderate,0,0,0,25-34,Bachelor,1,Retail/logistics,Worried,Need policy,Younger,NA,Bach or more,Male,NA,Confidence,3,0.3333333333333335,0.6666666666666667,0.4848484848484851
1173,43,Female,Extremely liberal,Independent,High school,Information and communication,2,2,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly oppose,Strongly favor,Strongly favor,Strongly oppose,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly oppose,Strongly oppose,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely important,Not al all important,Extremely important,Extremely important,NA,Ind/Other,Liberal,1,0,-3,35-44,HS or less/NA,0,Info/comms,Worried,Need policy,Younger,NA,Less than bach,Female,Liberal,Doubt,2,0.7575757575757576,0.8787878787878788,1.5151515151515151
1174,61,Male,"Moderate, middle of the road",Independent,Advanced degree,Information and communication,1,1,1,1,0,1,1,Somewhat favor,Somewhat oppose,Somewhat oppose,Somewhat favor,Don't know enough to say,Don't know enough to say,Don't know enough to say,Somewhat oppose,Somewhat favor,Somewhat favor,Somewhat favor,Don't know enough to say,Somewhat favor,Somewhat favor,Don't know enough to say,Somewhat oppose,Don't know enough to say,Somewhat favor,Somewhat oppose,Strongly oppose,Somewhat favor,Don't know enough to say,Somewhat favor,Somewhat favor,Somewhat favor,Don't know enough to say,Don't know enough to say,Somewhat oppose,Somewhat favor,Somewhat favor,Don't know enough to say,Somewhat favor,Somewhat favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very important,Very important,Very important,Very important,NA,Ind/Other,Moderate,0,0,0,55-64,Advanced,0,Info/comms,Worried,Need policy,Older,NA,Less than bach,Male,NA,Doubt,1,0.27272727272727276,0.6956521739130435,0.24242424242424246
1175,57,Male,Liberal,Strong Republican,Bachelor's degree,Information and communication,2,2,1,NA,3,3,2,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Strongly oppose,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Somewhat oppose,Somewhat favor,Strongly favor,Strongly oppose,Somewhat favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Somewhat oppose,Strongly favor,Strongly favor,Strongly oppose,Strongly favor,Strongly favor,Strongly favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely important,Extremely important,Extremely important,Very important,NA,Republican,Liberal,1,0,-2,55-64,Bachelor,1,Info/comms,Worried,Need policy,Older,Republican,Bach or more,Male,Liberal,NA,1,0.6969696969696969,0.8484848484848485,1.2424242424242424
1176,63,Male,Extremely liberal,Strong Democrat,Advanced degree,Other services,2,2,2,1,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat favor,Somewhat favor,Somewhat favor,Strongly favor,Strongly favor,Somewhat favor,Don't know enough to say,Somewhat favor,Strongly favor,Somewhat favor,Strongly oppose,Somewhat favor,Somewhat favor,Strongly favor,Strongly favor,Somewhat favor,Somewhat favor,Strongly oppose,Strongly oppose,Strongly favor,Somewhat oppose,Strongly favor,Strongly oppose,Don't know enough to say,Somewhat favor,Strongly favor,Somewhat oppose,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very important,Very important,Very important,Very important,NA,Democrat,Liberal,1,0,-3,55-64,Advanced,0,Other services,Worried,Need policy,Older,Democrat,Less than bach,Male,Liberal,Doubt,2,0.5757575757575758,0.8064516129032258,0.6969696969696969
1177,56,Female,Liberal,Strong Democrat,"Associate degree, junior college, or technical program","Professional, scientific, technical, administration and support service activities",2,2,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know enough to say,Strongly oppose,Don't know enough to say,Somewhat oppose,Strongly favor,Strongly favor,Don't know enough to say,Somewhat oppose,Somewhat oppose,Strongly favor,Don't know enough to say,Somewhat favor,Don't know enough to say,Don't know enough to say,Don't know enough to say,Strongly favor,Strongly favor,Don't know enough to say,Don't know enough to say,Strongly favor,Somewhat favor,Strongly favor,Strongly oppose,Strongly oppose,Somewhat favor,Don't know enough to say,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely important,Extremely important,Extremely important,Extremely important,"No the questions were not hard to understand, and I do not have any comments or suggestions.",Democrat,Liberal,1,0,-2,55-64,Assoc/tech,0,Professional,Worried,Need policy,Older,Democrat,Less than bach,Female,Liberal,Confidence,2,0.3333333333333335,0.7391304347826086,0.5454545454545456
1178,29,Male,Extremely conservative,Strong Republican,Bachelor's degree,Financial and insurance activities,0,2,1,3,3,3,3,Strongly favor,Strongly oppose,Somewhat oppose,Strongly oppose,Somewhat oppose,Strongly favor,Somewhat oppose,Strongly favor,Somewhat favor,Strongly oppose,Strongly favor,Somewhat oppose,Strongly favor,Somewhat favor,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Strongly oppose,Strongly favor,Strongly oppose,Strongly favor,Strongly favor,Strongly favor,Strongly oppose,Strongly favor,Strongly oppose,Strongly oppose,Strongly oppose,Strongly favor,Somewhat oppose,Somewhat favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely important,Extremely important,Extremely important,Extremely important,NA,Republican,Conservative,0,1,3,25-34,Bachelor,1,Finance/Insur,Not worried,Need policy,Younger,Republican,Bach or more,Male,Conservative,Confidence,1,0.15151515151515155,0.5757575757575758,0.33333333333333337
1179,37,Female,Leaning conservative,"Independent, leans Republican","Associate degree, junior college, or technical program","Professional, scientific, technical, administration and support service activities",2,2,2,1,1,3,3,Strongly favor,Somewhat oppose,Somewhat favor,Strongly favor,Somewhat favor,Strongly favor,Somewhat favor,Strongly favor,Don't know enough to say,Somewhat favor,Strongly favor,Somewhat favor,Somewhat favor,Strongly favor,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat favor,Strongly favor,Strongly favor,Somewhat favor,Somewhat favor,Strongly favor,Strongly favor,Somewhat favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Don't know enough to say,Strongly favor,Somewhat oppose,Strongly favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not very important,Somewhat important,Extremely important,Extremely important,NA,Ind/Other,Moderate,0,0,1,35-44,Assoc/tech,0,Professional,Worried,Need policy,Younger,NA,Less than bach,Female,NA,Doubt,1,0.8181818181818181,0.9354838709677419,1.2727272727272727
1180,60,Male,"Moderate, middle of the road",Independent,Advanced degree,"Professional, scientific, technical, administration and support service activities",2,2,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly favor,Somewhat oppose,Strongly favor,Somewhat oppose,Somewhat favor,Somewhat favor,Somewhat oppose,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,Somewhat oppose,Strongly favor,Somewhat favor,Somewhat oppose,Somewhat favor,Somewhat favor,Strongly favor,Somewhat favor,Somewhat favor,Somewhat oppose,Strongly oppose,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Somewhat oppose,Somewhat favor,Somewhat favor,Somewhat favor,Very important,Very important,Very important,Extremely important,"Some policy choices are not black and white. There may good things, but also bad about their results. A cost-benefit analysis may be required. Also, the level of effectiveness of some policies varies.",Ind/Other,Moderate,0,0,0,55-64,Advanced,0,Professional,Worried,Need policy,Older,NA,Less than bach,Male,NA,Doubt,3,0.5151515151515151,0.7575757575757576,0.8787878787878787
1181,43,Male,"Moderate, middle of the road",Independent,"Associate degree, junior college, or technical program",Other services,2,2,2,0,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly favor,Don't know enough to say,Somewhat favor,Somewhat oppose,Strongly favor,Strongly favor,Strongly oppose,Somewhat favor,Don't know enough to say,Don't know enough to say,Somewhat favor,Somewhat favor,Strongly favor,Don't know enough to say,Somewhat oppose,Strongly favor,Somewhat oppose,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat oppose,Don't know enough to say,Don't know enough to say,Somewhat favor,Strongly favor,Strongly favor,Somewhat oppose,Somewhat favor,Don't know enough to say,Strongly oppose,Strongly favor,Somewhat favor,Strongly oppose,Somewhat important,Very important,Extremely important,Extremely important,None.,Ind/Other,Moderate,0,0,0,35-44,Assoc/tech,0,Other services,Worried,Need policy,Younger,NA,Less than bach,Male,NA,Doubt,3,0.3030303030303031,0.6923076923076923,0.4545454545454545
1182,54,Male,Extremely liberal,Strong Democrat,Advanced degree,Information and communication,1,2,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat favor,Strongly favor,Strongly favor,Somewhat favor,Somewhat oppose,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Somewhat oppose,Strongly favor,Somewhat favor,Somewhat oppose,Very important,Somewhat important,Extremely important,Extremely important,NA,Democrat,Liberal,1,0,-3,45-54,Advanced,0,Info/comms,Worried,Need policy,Older,Democrat,Less than bach,Male,Liberal,Doubt,3,0.8181818181818181,0.9090909090909091,1.4242424242424243
1183,21,Male,Leaning conservative,"Independent, leans Republican","Associate degree, junior college, or technical program",I am a currently a student,1,2,2,2,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly favor,Somewhat favor,Somewhat oppose,Strongly favor,Strongly favor,Strongly favor,Strongly oppose,Somewhat favor,Somewhat favor,Somewhat oppose,Somewhat favor,Somewhat favor,Strongly favor,Somewhat oppose,Strongly favor,Somewhat favor,Somewhat favor,Strongly oppose,Strongly oppose,Somewhat oppose,Strongly oppose,Somewhat favor,Strongly favor,Somewhat favor,Somewhat favor,Strongly favor,Somewhat favor,Strongly favor,Somewhat oppose,Strongly oppose,Somewhat favor,Somewhat favor,Strongly oppose,Very important,Extremely important,Somewhat important,Extremely important,NA,Ind/Other,Moderate,0,0,1,18-24,Assoc/tech,0,Student,Worried,Need policy,Younger,NA,Less than bach,Male,NA,Confidence,3,0.3333333333333334,0.6666666666666666,0.42424242424242425
1184,23,Male,"Moderate, middle of the road",Independent,High school,Information and communication,-1,0,0,1,1,3,3,Somewhat favor,Strongly oppose,Strongly oppose,Somewhat favor,Somewhat favor,Somewhat oppose,Somewhat favor,Somewhat favor,Strongly favor,Somewhat oppose,Somewhat favor,Strongly oppose,Somewhat favor,Somewhat oppose,Somewhat oppose,Strongly oppose,Strongly oppose,Somewhat oppose,Somewhat oppose,Strongly oppose,Somewhat favor,Somewhat oppose,Strongly favor,Somewhat favor,Somewhat favor,Strongly oppose,Strongly favor,Strongly oppose,Strongly oppose,Somewhat favor,Strongly oppose,Strongly oppose,Somewhat oppose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely important,Very important,Somewhat important,Somewhat important,NA,Ind/Other,Moderate,0,0,0,18-24,HS or less/NA,0,Info/comms,Not worried,No need,Younger,NA,Less than bach,Male,NA,Doubt,1,-0.15151515151515155,0.4242424242424242,-0.3939393939393938
1185,22,Female,Liberal,Democrat,"Associate degree, junior college, or technical program","Public administration, defence, education, human health and social work activities",1,2,2,1,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly favor,Somewhat favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Somewhat oppose,Strongly oppose,Strongly favor,Don't know enough to say,Don't know enough to say,Somewhat favor,Don't know enough to say,Don't know enough to say,Somewhat oppose,Strongly oppose,Somewhat favor,Strongly oppose,Don't know enough to say,Strongly favor,Somewhat oppose,Strongly favor,Don't know enough to say,Don't know enough to say,Strongly oppose,Strongly favor,Somewhat oppose,Strongly favor,Strongly favor,Strongly favor,Strongly oppose,Strongly favor,Strongly favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very important,Very important,Extremely important,Extremely important,None of the questions asked were hard to understand.,Democrat,Liberal,1,0,-2,18-24,Assoc/tech,0,Public admin,Worried,Need policy,Younger,Democrat,Less than bach,Female,Liberal,Doubt,2,0.2424242424242425,0.6538461538461539,0.48484848484848486
1186,56,Female,Conservative,Republican,Advanced degree,"Professional, scientific, technical, administration and support service activities",1,1,1,1,1,3,3,Somewhat favor,Strongly oppose,Somewhat oppose,Somewhat favor,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat favor,Strongly favor,Strongly oppose,Somewhat favor,Strongly oppose,Somewhat oppose,Strongly oppose,Somewhat oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Somewhat favor,Don't know enough to say,Strongly favor,Somewhat oppose,Somewhat favor,Somewhat oppose,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat oppose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very important,Extremely important,Somewhat important,Very important,NA,Republican,Conservative,0,1,2,55-64,Advanced,0,Professional,Worried,Need policy,Older,Republican,Less than bach,Female,Conservative,Doubt,1,-0.3030303030303031,0.34375,-0.5151515151515151
1187,40,Male,Conservative,Strong Republican,Bachelor's degree,Financial and insurance activities,2,2,2,1,1,3,1,Strongly favor,Somewhat oppose,Strongly favor,Strongly favor,Don't know enough to say,Strongly favor,Somewhat favor,Strongly favor,Strongly oppose,Strongly favor,Strongly favor,Don't know enough to say,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Don't know enough to say,Somewhat favor,Strongly oppose,Strongly favor,Strongly oppose,Strongly favor,Don't know enough to say,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly oppose,Strongly favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely important,Extremely important,Extremely important,Extremely important,"No issues found.
Thank you for the opportunity.",Republican,Conservative,0,1,2,35-44,Bachelor,1,Finance/Insur,Worried,Need policy,Younger,Republican,Bach or more,Male,Conservative,Doubt,1,0.5757575757575758,0.8275862068965517,1.0909090909090908
1188,26,Male,Liberal,"Independent, leans Democrat",Bachelor's degree,"Public administration, defence, education, human health and social work activities",2,2,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat favor,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,Somewhat favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Don't know enough to say,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely important,Somewhat important,Extremely important,Extremely important,NA,Ind/Other,Liberal,1,0,-2,25-34,Bachelor,1,Public admin,Worried,Need policy,Younger,NA,Bach or more,Male,Liberal,Doubt,2,0.9696969696969697,1,1.8181818181818181
1189,63,Male,Leaning liberal,Independent,Advanced degree,Other services,1,1,1,3,3,1,3,Somewhat favor,Strongly oppose,Somewhat oppose,Somewhat favor,Somewhat favor,Somewhat oppose,Somewhat favor,Somewhat oppose,Strongly favor,Somewhat favor,Strongly favor,Somewhat oppose,Somewhat favor,Somewhat favor,Don't know enough to say,Strongly oppose,Strongly oppose,Somewhat favor,Somewhat oppose,Somewhat oppose,Don't know enough to say,Don't know enough to say,Strongly favor,Strongly favor,Somewhat favor,Somewhat favor,Strongly favor,Somewhat oppose,Somewhat oppose,Strongly favor,Somewhat favor,Somewhat oppose,Somewhat oppose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat important,Somewhat important,Somewhat important,Somewhat important,None,Ind/Other,Moderate,0,0,-1,55-64,Advanced,0,Other services,Worried,Need policy,Older,NA,Less than bach,Male,NA,Confidence,1,0.12121212121212128,0.5666666666666667,0.21212121212121213
1190,47,Female,"Moderate, middle of the road",Independent,High school,Other services,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat favor,Don't know enough to say,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat oppose,Somewhat favor,Somewhat oppose,Somewhat oppose,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat favor,Don't know enough to say,Somewhat favor,Somewhat favor,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat favor,Don't know enough to say,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat favor,Somewhat favor,Somewhat oppose,Very important,Very important,Very important,Very important,NA,Ind/Other,Moderate,0,0,0,45-54,HS or less/NA,0,Other services,Worried,Need policy,Older,NA,Less than bach,Female,NA,Doubt,3,0.18181818181818185,0.6,0.18181818181818185
1191,60,Female,"Moderate, middle of the road",Independent,Bachelor's degree,Financial and insurance activities,1,1,1,1,1,1,1,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat oppose,Don't know enough to say,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,Strongly oppose,Somewhat favor,Strongly favor,Somewhat favor,Somewhat favor,Somewhat favor,Somewhat favor,Don't know enough to say,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Strongly oppose,Strongly favor,Strongly favor,Strongly favor,Don't know enough to say,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat important,Extremely important,Extremely important,Extremely important,no,Ind/Other,Moderate,0,0,0,55-64,Bachelor,1,Finance/Insur,Worried,Need policy,Older,NA,Bach or more,Female,NA,Doubt,1,0.7272727272727273,0.9,1.1515151515151516
